,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary
6533,30-34,Man,Turkey,Professional doctorate,Other,1-3 years,2,Under 1 year,Academics/Education,"1000-9,999 employees",1-2,"10,000-14,999"
6534,35-39,Man,Brazil,Master’s degree,Research Scientist,3-5 years,2,2-3 years,Manufacturing/Fabrication,"10,000 or more employees",20+,"3,000-3,999"
6535,70+,Man,Japan,High school,Currently not employed,3-5 years,1,2-3 years,,,,nan
6536,55-59,Woman,USA,Master’s degree,Other,20+ years,5,10-20 years,Government/Public Service,250-999 employees,3-4,0-999
6537,45-49,Man,Indonesia,Master’s degree,Research Scientist,10-20 years,6,2-3 years,Computers/Technology,250-999 employees,5-9,"2,000-2,999"
6538,35-39,Man,Thailand,Bachelor’s degree,Data Analyst,1-3 years,2,1-2 years,Academics/Education,250-999 employees,1-2,"10,000-14,999"
6539,18-21,Man,India,Bachelor’s degree,Student,< 1 years,3,,,,,nan
6540,30-34,Man,Ireland,Master’s degree,Student,3-5 years,6,Under 1 year,,,,nan
6541,35-39,Man,UAE,Master’s degree,Data Analyst,10-20 years,3,1-2 years,Medical/Pharmaceutical,50-249 employees,1-2,nan
6542,18-21,Man,Japan,Some college no bachelor,Student,< 1 years,1,Under 1 year,,,,nan
6543,30-34,Man,Japan,Master’s degree,Other,5-10 years,3,1-2 years,Manufacturing/Fabrication,"1000-9,999 employees",0,"200,000-249,999"
6544,18-21,Man,India,Bachelor’s degree,Software Engineer,3-5 years,7,2-3 years,Online Service/Internet-based Services,"10,000 or more employees",20+,"1,000,000"
6545,18-21,Man,India,Bachelor’s degree,Student,1-3 years,3,,,,,nan
6546,30-34,Man,India,Master’s degree,Business Analyst,1-3 years,1,No experience,Manufacturing/Fabrication,"1000-9,999 employees",5-9,"1,000-1,999"
6547,25-29,Man,India,Doctoral degree,Student,5-10 years,1,Under 1 year,,,,nan
6548,40-44,Woman,India,Master’s degree,Business Analyst,< 1 years,2,No experience,Computers/Technology,"10,000 or more employees",20+,"1,000-1,999"
6549,45-49,Man,France,I prefer not to answer,Software Engineer,20+ years,4,No experience,Computers/Technology,250-999 employees,1-2,"80,000-89,999"
6550,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years,2,No experience,,,,nan
6551,25-29,Man,USA,Bachelor’s degree,Student,1-3 years,3,No experience,,,,nan
6552,22-24,Man,USA,Master’s degree,Student,< 1 years,4,,,,,nan
6553,25-29,Man,South Africa,Bachelor’s degree,Student,5-10 years,3,3-4 years,,,,nan
6554,22-24,Woman,Tunisia,Master’s degree,Currently not employed,3-5 years,2,2-3 years,,,,nan
6555,18-21,Other,USA,Some college no bachelor,Student,< 1 years,1,No experience,,,,nan
6556,50-54,Man,Germany,Professional doctorate,Research Scientist,1-3 years,1,1-2 years,Academics/Education,"1000-9,999 employees",20+,0-999
6557,35-39,Man,Other,Doctoral degree,Other,1-3 years,1,1-2 years,Medical/Pharmaceutical,"1000-9,999 employees",1-2,"15,000-19,999"
6558,30-34,Man,Germany,Master’s degree,Software Engineer,10-20 years,3,,,,,nan
6559,18-21,Man,India,Bachelor’s degree,Student,< 1 years,2,Under 1 year,,,,nan
6560,22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years,1,No experience,,,,nan
6561,22-24,Man,Indonesia,Bachelor’s degree,Data Analyst,1-3 years,4,2-3 years,Academics/Education,0-49 employees,5-9,0-999
6562,30-34,Man,Japan,Doctoral degree,Research Scientist,3-5 years,2,Under 1 year,Academics/Education,"10,000 or more employees",20+,"40,000-49,999"
6563,55-59,Woman,USA,Doctoral degree,Other,20+ years,4,Under 1 year,Academics/Education,"1000-9,999 employees",0,"250,000-299,999"
6564,55-59,Man,USA,Some college no bachelor,Other,20+ years,1,No experience,Insurance/Risk Assessment,0-49 employees,0,nan
6565,35-39,Man,India,Master’s degree,Data Scientist,5-10 years,5,5-10 years,Accounting/Finance,"1000-9,999 employees",10-14,"60,000-69,999"
6566,22-24,Man,UK,Master’s degree,Data Engineer,< 1 years,1,No experience,Marketing/CRM,50-249 employees,20+,"30,000-39,999"
6567,18-21,Woman,Bangladesh,Bachelor’s degree,Currently not employed,< 1 years,2,No experience,,,,nan
6568,18-21,Man,India,Bachelor’s degree,Student,1-3 years,2,No experience,,,,nan
6569,30-34,Man,Germany,Doctoral degree,Machine Learning Engineer,5-10 years,2,2-3 years,Retail/Sales,"1000-9,999 employees",20+,"90,000-99,999"
6570,25-29,Man,Spain,Some college no bachelor,Other,5-10 years,2,2-3 years,Military/Security/Defense,"1000-9,999 employees",0,"20,000-24,999"
6571,18-21,Man,Egypt,Some college no bachelor,Student,1-3 years,3,Under 1 year,,,,nan
6572,18-21,Man,India,Bachelor’s degree,Student,< 1 years,2,Under 1 year,,,,nan
6573,35-39,Man,UK,Doctoral degree,Software Engineer,20+ years,4,,,,,nan
6574,22-24,Man,China,Master’s degree,Student,1-3 years,3,,,,,nan
6575,50-54,Man,Canada,Master’s degree,Currently not employed,20+ years,3,1-2 years,,,,nan
6576,22-24,Man,Other,Master’s degree,Student,3-5 years,6,No experience,,,,nan
6577,30-34,Man,UAE,Professional doctorate,Research Scientist,10-20 years,4,5-10 years,Medical/Pharmaceutical,0-49 employees,1-2,"4,000-4,999"
6578,18-21,Man,Pakistan,Bachelor’s degree,Software Engineer,< 1 years,2,Under 1 year,Computers/Technology,0-49 employees,5-9,0-999
6579,22-24,Man,India,Doctoral degree,Research Scientist,3-5 years,3,1-2 years,Academics/Education,250-999 employees,3-4,"4,000-4,999"
6580,40-44,Man,Czech Republic,Doctoral degree,Data Scientist,20+ years,4,10-20 years,,,,nan
6581,45-49,Man,Italy,Master’s degree,Other,3-5 years,3,4-5 years,Online Business/Internet-based Sales,"1000-9,999 employees",5-9,"125,000-149,999"
6582,45-49,Man,Kenya,Bachelor’s degree,Data Analyst,20+ years,4,1-2 years,Government/Public Service,"1000-9,999 employees",10-14,"1,000-1,999"
6583,25-29,Man,India,Master’s degree,Business Analyst,No experience,0,,Government/Public Service,"1000-9,999 employees",5-9,0-999
6584,30-34,Man,Brazil,Bachelor’s degree,Data Analyst,< 1 years,3,Under 1 year,Manufacturing/Fabrication,250-999 employees,5-9,"7,500-9,999"
6585,45-49,Man,Indonesia,Master’s degree,Other,1-3 years,1,No experience,Academics/Education,50-249 employees,0,0-999
6586,25-29,Man,Nigeria,Bachelor’s degree,Data Analyst,No experience,0,,Marketing/CRM,50-249 employees,1-2,"1,000-1,999"
6587,18-21,Man,Other,Bachelor’s degree,Student,3-5 years,5,1-2 years,,,,nan
6588,30-34,Man,Japan,Doctoral degree,Data Engineer,1-3 years,1,Under 1 year,Manufacturing/Fabrication,"1000-9,999 employees",1-2,"50,000-59,999"
6589,55-59,Man,USA,Master’s degree,Other,20+ years,1,Under 1 year,Computers/Technology,0-49 employees,0,"500,000-999,999"
6590,35-39,Man,France,Master’s degree,Software Engineer,10-20 years,2,1-2 years,Accounting/Finance,"10,000 or more employees",0,nan
6591,25-29,Man,India,Bachelor’s degree,Data Scientist,No experience,0,,Other,50-249 employees,0,"1,000-1,999"
6592,40-44,Man,South Africa,Bachelor’s degree,Data Scientist,10-20 years,4,3-4 years,Other,"10,000 or more employees",20+,"60,000-69,999"
6593,25-29,Man,Poland,Master’s degree,Machine Learning Engineer,5-10 years,2,3-4 years,Online Business/Internet-based Sales,50-249 employees,10-14,"50,000-59,999"
6594,18-21,Man,Russia,Bachelor’s degree,Student,3-5 years,2,,,,,nan
6595,45-49,Man,USA,Master’s degree,Other,20+ years,1,20 or more years,Insurance/Risk Assessment,0-49 employees,1-2,"100,000-124,999"
6596,45-49,Woman,USA,Some college no bachelor,Currently not employed,No experience,0,,,,,nan
6597,50-54,Man,Japan,Master’s degree,Business Analyst,10-20 years,1,2-3 years,Insurance/Risk Assessment,"10,000 or more employees",20+,"10,000-14,999"
6598,25-29,Man,UK,Master’s degree,Research Scientist,1-3 years,3,1-2 years,Accounting/Finance,50-249 employees,3-4,"70,000-79,999"
6599,55-59,Man,USA,Doctoral degree,Data Scientist,20+ years,2,20 or more years,Computers/Technology,"10,000 or more employees",20+,"200,000-249,999"
6600,35-39,Man,China,Master’s degree,Data Engineer,10-20 years,4,1-2 years,Retail/Sales,"10,000 or more employees",20+,"200,000-249,999"
6601,25-29,Man,India,Master’s degree,Data Scientist,1-3 years,3,Under 1 year,Online Service/Internet-based Services,250-999 employees,10-14,"20,000-24,999"
6602,55-59,Man,Australia,Bachelor’s degree,Other,< 1 years,1,Under 1 year,Academics/Education,"1000-9,999 employees",5-9,"60,000-69,999"
6603,18-21,Man,India,Bachelor’s degree,Student,< 1 years,2,No experience,,,,nan
6604,22-24,Man,India,Doctoral degree,Other,< 1 years,2,Under 1 year,Other,0-49 employees,1-2,0-999
6605,18-21,Man,India,Bachelor’s degree,Student,< 1 years,4,Under 1 year,,,,nan
6606,22-24,Man,Brazil,Bachelor’s degree,Business Analyst,1-3 years,2,Under 1 year,Retail/Sales,"10,000 or more employees",0,"4,000-4,999"
6607,25-29,Man,Italy,Master’s degree,Student,5-10 years,2,Under 1 year,,,,nan
6608,30-34,Man,Pakistan,Master’s degree,Product Manager,No experience,0,,Broadcasting/Communications,0-49 employees,1-2,"70,000-79,999"
6609,35-39,Man,Spain,Doctoral degree,Data Scientist,10-20 years,3,10-20 years,Computers/Technology,"1000-9,999 employees",20+,"90,000-99,999"
6610,25-29,Man,Nigeria,Doctoral degree,Machine Learning Engineer,5-10 years,3,4-5 years,Academics/Education,"1000-9,999 employees",3-4,"2,000-2,999"
6611,18-21,Woman,India,Master’s degree,Data Scientist,1-3 years,5,Under 1 year,Other,0-49 employees,3-4,0-999
6612,50-54,Woman,USA,Master’s degree,Student,20+ years,1,1-2 years,,,,nan
6613,25-29,Man,Iraq,Bachelor’s degree,Developer Relations/Advocacy,< 1 years,1,,,,,nan
6614,18-21,Man,India,Bachelor’s degree,Student,3-5 years,4,Under 1 year,,,,nan
6615,18-21,Woman,India,Bachelor’s degree,Data Analyst,< 1 years,5,Under 1 year,Academics/Education,"1000-9,999 employees",15-19,nan
6616,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,3,1-2 years,,,,nan
6617,40-44,Woman,Turkey,Doctoral degree,Research Scientist,3-5 years,1,5-10 years,Academics/Education,0-49 employees,5-9,"1,000-1,999"
6618,60-69,Man,Canada,Master’s degree,Business Analyst,20+ years,6,5-10 years,Insurance/Risk Assessment,"10,000 or more employees",20+,"250,000-299,999"
6619,25-29,Woman,Other,Master’s degree,Data Scientist,3-5 years,3,2-3 years,Accounting/Finance,50-249 employees,3-4,"20,000-24,999"
6620,35-39,Woman,India,Doctoral degree,Other,10-20 years,3,4-5 years,Academics/Education,250-999 employees,0,"15,000-19,999"
6621,25-29,Man,South Korea,Doctoral degree,Research Scientist,5-10 years,3,4-5 years,Academics/Education,0-49 employees,3-4,0-999
6622,18-21,Man,India,Bachelor’s degree,Student,3-5 years,2,1-2 years,,,,nan
6623,22-24,Woman,India,Bachelor’s degree,Data Scientist,1-3 years,5,No experience,Government/Public Service,"10,000 or more employees",20+,0-999
6624,22-24,Woman,India,Bachelor’s degree,Developer Relations/Advocacy,< 1 years,3,1-2 years,,,,nan
6625,50-54,Man,Russia,Doctoral degree,Research Scientist,3-5 years,2,2-3 years,Academics/Education,250-999 employees,0,"1,000-1,999"
6626,40-44,Woman,USA,Doctoral degree,Currently not employed,< 1 years,1,1-2 years,,,,nan
6627,50-54,Man,USA,Doctoral degree,Other,1-3 years,1,No experience,Academics/Education,50-249 employees,0,"80,000-89,999"
6628,22-24,Man,Italy,Master’s degree,Student,1-3 years,2,Under 1 year,,,,nan
6629,30-34,Man,Mexico,Master’s degree,Other,10-20 years,7,1-2 years,Online Service/Internet-based Services,0-49 employees,1-2,"40,000-49,999"
6630,55-59,Man,Spain,Bachelor’s degree,Currently not employed,5-10 years,2,Under 1 year,,,,nan
6631,22-24,Woman,India,Master’s degree,Software Engineer,< 1 years,2,1-2 years,Computers/Technology,250-999 employees,20+,nan
6632,25-29,Man,India,Master’s degree,Software Engineer,1-3 years,4,2-3 years,Computers/Technology,0-49 employees,0,0-999
6633,22-24,Man,China,Master’s degree,Student,< 1 years,4,Under 1 year,,,,nan
6634,60-69,Man,Italy,Bachelor’s degree,Software Engineer,20+ years,2,Under 1 year,Retail/Sales,0-49 employees,0,"10,000-14,999"
6635,25-29,Man,Other,Master’s degree,Statistician,< 1 years,2,Under 1 year,Accounting/Finance,0-49 employees,0,"7,500-9,999"
6636,25-29,Woman,Tunisia,Bachelor’s degree,Data Scientist,1-3 years,4,2-3 years,Medical/Pharmaceutical,50-249 employees,3-4,0-999
6637,45-49,Woman,Iraq,I prefer not to answer,Data Scientist,20+ years,2,4-5 years,Academics/Education,"10,000 or more employees",15-19,"1,000-1,999"
6638,40-44,Man,Ireland,Doctoral degree,Data Analyst,1-3 years,1,1-2 years,Academics/Education,250-999 employees,1-2,"50,000-59,999"
6639,50-54,Man,Other,Bachelor’s degree,Product Manager,10-20 years,5,Under 1 year,Other,50-249 employees,1-2,"25,000-29,999"
6640,22-24,Man,Indonesia,Master’s degree,Product Manager,1-3 years,4,1-2 years,Computers/Technology,0-49 employees,1-2,"10,000-14,999"
6641,18-21,Man,Iran,Some college no bachelor,Student,1-3 years,4,Under 1 year,,,,nan
6642,22-24,Man,Bangladesh,Master’s degree,Machine Learning Engineer,1-3 years,2,Under 1 year,Other,0-49 employees,0,0-999
6643,25-29,Man,Chile,Some college no bachelor,Student,< 1 years,2,No experience,,,,nan
6644,25-29,Man,Pakistan,Master’s degree,Data Analyst,3-5 years,3,Under 1 year,Government/Public Service,250-999 employees,1-2,0-999
6645,22-24,Man,India,Bachelor’s degree,Data Scientist,< 1 years,3,Under 1 year,Computers/Technology,"10,000 or more employees",20+,0-999
6646,40-44,Man,Nigeria,Master’s degree,Research Scientist,5-10 years,4,Under 1 year,Academics/Education,250-999 employees,0,nan
6647,60-69,Man,Other,Master’s degree,Business Analyst,< 1 years,1,1-2 years,Online Service/Internet-based Services,0-49 employees,3-4,"50,000-59,999"
6648,18-21,Man,India,Bachelor’s degree,Student,1-3 years,1,Under 1 year,,,,nan
6649,55-59,Man,Australia,Bachelor’s degree,Other,20+ years,5,1-2 years,Other,"1000-9,999 employees",0,"100,000-124,999"
6650,18-21,Man,India,Bachelor’s degree,Student,1-3 years,1,1-2 years,,,,nan
6651,25-29,Man,India,Master’s degree,Software Engineer,3-5 years,5,2-3 years,Computers/Technology,"10,000 or more employees",20+,"20,000-24,999"
6652,30-34,Man,Taiwan,Master’s degree,Student,1-3 years,5,1-2 years,,,,nan
6653,30-34,Woman,USA,Bachelor’s degree,Software Engineer,5-10 years,4,No experience,Accounting/Finance,"10,000 or more employees",20+,"70,000-79,999"
6654,30-34,Woman,Pakistan,Master’s degree,Currently not employed,1-3 years,1,Under 1 year,,,,nan
6655,22-24,Woman,India,Master’s degree,Student,1-3 years,1,Under 1 year,,,,nan
6656,30-34,Man,Ukraine,Master’s degree,Research Scientist,1-3 years,3,1-2 years,Shipping/Transportation,250-999 employees,20+,"15,000-19,999"
6657,25-29,Man,Taiwan,Master’s degree,Software Engineer,3-5 years,1,1-2 years,,,,nan
6658,25-29,Man,Ireland,Doctoral degree,Other,3-5 years,4,Under 1 year,Academics/Education,250-999 employees,20+,"40,000-49,999"
6659,30-34,Man,Brazil,Bachelor’s degree,Student,3-5 years,4,Under 1 year,,,,nan
6660,18-21,Other,China,Bachelor’s degree,Student,< 1 years,2,Under 1 year,,,,nan
6661,18-21,Man,USA,Bachelor’s degree,Student,5-10 years,3,No experience,,,,nan
6662,30-34,Woman,Italy,Master’s degree,Data Engineer,1-3 years,2,1-2 years,Government/Public Service,50-249 employees,0,0-999
6663,18-21,Man,India,Bachelor’s degree,Student,1-3 years,4,Under 1 year,,,,nan
6664,25-29,Man,India,Master’s degree,Other,No experience,0,,Accounting/Finance,"10,000 or more employees",20+,"4,000-4,999"
6665,40-44,Man,Nigeria,Bachelor’s degree,Business Analyst,3-5 years,2,2-3 years,Other,0-49 employees,1-2,0-999
6666,40-44,Man,India,Bachelor’s degree,Data Analyst,10-20 years,2,No experience,Computers/Technology,"10,000 or more employees",20+,"20,000-24,999"
6667,35-39,Man,UAE,Doctoral degree,Data Scientist,10-20 years,3,,,,,nan
6668,18-21,Woman,India,Bachelor’s degree,Currently not employed,1-3 years,1,,,,,nan
6669,22-24,Man,India,Master’s degree,Student,1-3 years,4,Under 1 year,,,,nan
6670,35-39,Man,Ireland,Master’s degree,Business Analyst,< 1 years,1,No experience,Retail/Sales,"1000-9,999 employees",10-14,"40,000-49,999"
6671,45-49,Man,Poland,Bachelor’s degree,Business Analyst,< 1 years,3,,,,,nan
6672,35-39,Woman,USA,Bachelor’s degree,Currently not employed,No experience,0,,,,,nan
6673,18-21,Man,Other,Some college no bachelor,Software Engineer,1-3 years,3,No experience,Academics/Education,0-49 employees,0,nan
6674,35-39,Man,Italy,Master’s degree,Currently not employed,< 1 years,1,No experience,,,,nan
6675,35-39,Man,China,Some college no bachelor,Data Analyst,3-5 years,1,No experience,Computers/Technology,0-49 employees,3-4,"5,000-7,499"
6676,18-21,Man,India,Bachelor’s degree,Student,< 1 years,2,Under 1 year,,,,nan
6677,18-21,Man,India,Some college no bachelor,Student,< 1 years,1,No experience,,,,nan
6678,40-44,Man,India,Doctoral degree,Other,10-20 years,3,2-3 years,Academics/Education,50-249 employees,10-14,"10,000-14,999"
6679,60-69,Woman,Spain,Doctoral degree,Research Scientist,20+ years,4,10-20 years,Government/Public Service,50-249 employees,3-4,"100,000-124,999"
6680,18-21,Woman,Egypt,Bachelor’s degree,Student,< 1 years,1,No experience,,,,nan
6681,25-29,Man,USA,Master’s degree,Student,5-10 years,2,Under 1 year,,,,nan
6682,30-34,Woman,India,Master’s degree,Software Engineer,10-20 years,3,1-2 years,Computers/Technology,"1000-9,999 employees",5-9,"1,000-1,999"
6683,35-39,Man,Brazil,Bachelor’s degree,Program/Project Manager,10-20 years,3,2-3 years,Online Service/Internet-based Services,0-49 employees,0,"3,000-3,999"
6684,50-54,Man,Japan,Bachelor’s degree,Statistician,10-20 years,2,2-3 years,Broadcasting/Communications,"1000-9,999 employees",0,"60,000-69,999"
6685,50-54,Man,USA,Bachelor’s degree,Data Scientist,3-5 years,2,1-2 years,Non-profit/Service,50-249 employees,1-2,"100,000-124,999"
6686,18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,1,,,,,nan
6687,22-24,Man,China,Master’s degree,Student,< 1 years,3,Under 1 year,,,,nan
6688,35-39,Man,India,Master’s degree,Product Manager,5-10 years,2,5-10 years,Online Service/Internet-based Services,250-999 employees,10-14,"100,000-124,999"
6689,30-34,Man,USA,Doctoral degree,Student,10-20 years,2,2-3 years,,,,nan
6690,35-39,Man,France,Doctoral degree,Research Scientist,5-10 years,3,1-2 years,Other,"1000-9,999 employees",3-4,"30,000-39,999"
6691,40-44,Man,Nigeria,Doctoral degree,Research Scientist,5-10 years,4,4-5 years,Academics/Education,"1000-9,999 employees",15-19,"4,000-4,999"
6692,18-21,Man,India,Bachelor’s degree,Student,1-3 years,3,1-2 years,,,,nan
6693,45-49,Man,South Korea,Bachelor’s degree,Software Engineer,20+ years,4,2-3 years,Accounting/Finance,"1000-9,999 employees",10-14,"100,000-124,999"
6694,22-24,Man,India,Bachelor’s degree,Currently not employed,1-3 years,1,1-2 years,,,,nan
