,age,gender,country,education,programming_lang_c,experience_ml,industry,company_size_g,salary_avg,role_group
1906,30-34,Man,India,Bachelor’s degree,4,3-4 years,Accounting/Finance,Large,22500.0,Data Engineer
1911,18-21,Man,India,Bachelor’s degree,3,1-2 years,Insurance/Risk Assessment,Large,22500.0,Data Analyst
1912,45-49,Man,France,Doctoral degree,2,10-20 years,Medical/Pharmaceutical,Small,45000.0,Data Scientist
1913,55-59,Man,USA,Bachelor’s degree,1,No experience,Broadcasting/Communications,Large,175000.0,Data Engineer
1914,22-24,Man,India,Bachelor’s degree,2,1-2 years,Online Service/Internet-based Services,Large,6250.0,Data Scientist
1916,35-39,Woman,India,Doctoral degree,4,Under 1 year,Academics/Education,Medium,6250.0,Data Scientist
1918,25-29,Man,India,Bachelor’s degree,1,1-2 years,Computers/Technology,Medium,1500.0,Other
1920,50-54,Man,USA,Doctoral degree,2,20 or more years,Retail/Sales,Large,175000.0,Data Scientist
1921,25-29,Man,India,Master’s degree,3,1-2 years,Accounting/Finance,Large,8750.0,Data Scientist
1922,25-29,Man,India,Bachelor’s degree,2,No experience,Online Service/Internet-based Services,Medium,12500.0,Data Engineer
1925,35-39,Man,USA,Master’s degree,3,5-10 years,Insurance/Risk Assessment,Large,175000.0,Data Scientist
1926,25-29,Man,India,Master’s degree,1,Under 1 year,Other,Large,8750.0,Other
1928,22-24,Man,India,Bachelor’s degree,2,Under 1 year,Academics/Education,Small,500.0,Data Scientist
1930,22-24,Man,USA,Master’s degree,3,No experience,Other,Large,55000.0,Data Analyst
1931,25-29,Other,USA,Bachelor’s degree,4,Under 1 year,Academics/Education,Medium,27500.0,Data Scientist
1932,35-39,Man,USA,Master’s degree,2,Under 1 year,Accounting/Finance,Small,85000.0,Data Engineer
1933,22-24,Man,India,Master’s degree,2,1-2 years,Government/Public Service,Large,1500.0,Data Scientist
1934,40-44,Man,Ireland,Master’s degree,2,5-10 years,Medical/Pharmaceutical,Large,175000.0,Data Scientist
1936,25-29,Woman,USA,Bachelor’s degree,1,2-3 years,Retail/Sales,Large,22500.0,Other
1939,30-34,Man,USA,Master’s degree,2,Under 1 year,Academics/Education,Large,112500.0,Other
1945,30-34,Man,Germany,Master’s degree,1,Under 1 year,Academics/Education,Large,65000.0,Data Scientist
1947,22-24,Man,India,Bachelor’s degree,2,No experience,Online Service/Internet-based Services,Large,3500.0,Other
1949,45-49,Man,USA,Bachelor’s degree,1,Under 1 year,Retail/Sales,Large,45000.0,Data Analyst
1951,40-44,Woman,Germany,Doctoral degree,2,Under 1 year,Computers/Technology,Small,55000.0,Data Engineer
1953,40-44,Man,USA,Doctoral degree,2,5-10 years,Computers/Technology,Small,137500.0,Data Scientist
1954,25-29,Man,Italy,Master’s degree,2,2-3 years,Manufacturing/Fabrication,Small,1500.0,Data Scientist
1956,22-24,Man,India,Bachelor’s degree,2,Under 1 year,Academics/Education,Small,500.0,Data Scientist
1957,18-21,Man,India,Some college,1,1-2 years,Academics/Education,Large,500.0,Data Engineer
1959,30-34,Man,India,Master’s degree,4,Under 1 year,Computers/Technology,Large,8750.0,Data Engineer
1965,18-21,Other,USA,Bachelor’s degree,2,1-2 years,Medical/Pharmaceutical,Large,35000.0,Data Engineer
1967,35-39,Man,Sweden,Master’s degree,1,3-4 years,Broadcasting/Communications,Large,35000.0,Data Engineer
1971,40-44,Man,India,Master’s degree,2,3-4 years,Online Service/Internet-based Services,Large,65000.0,Data Analyst
1972,25-29,Man,Germany,Master’s degree,2,1-2 years,Retail/Sales,Medium,3500.0,Data Analyst
1974,30-34,Man,USA,Some college,1,Under 1 year,Online Business/Internet-based Sales,Medium,35000.0,Data Analyst
1975,22-24,Man,India,Master’s degree,1,1-2 years,Computers/Technology,Large,4500.0,Data Engineer
1978,40-44,Man,Italy,Doctoral degree,2,2-3 years,Academics/Education,Large,35000.0,Data Scientist
1979,35-39,Man,France,Master’s degree,4,5-10 years,Energy/Mining,Large,85000.0,Data Engineer
1980,25-29,Man,India,Bachelor’s degree,2,Under 1 year,Other,Large,500.0,Other
1981,22-24,Man,UK,Master’s degree,3,Under 1 year,Government/Public Service,Large,45000.0,Data Scientist
1982,22-24,Man,India,Master’s degree,1,1-2 years,Academics/Education,Medium,1500.0,Data Engineer
1983,50-54,Man,India,Master’s degree,1,No experience,Academics/Education,Medium,12500.0,Other
1984,22-24,Man,India,Master’s degree,3,No experience,Manufacturing/Fabrication,Large,4500.0,Data Analyst
1986,25-29,Man,India,Bachelor’s degree,1,Under 1 year,Manufacturing/Fabrication,Medium,2500.0,Data Scientist
1988,30-34,Man,India,Master’s degree,2,1-2 years,Academics/Education,Small,500.0,Data Scientist
1991,45-49,Man,Netherlands,Doctoral degree,3,5-10 years,Shipping/Transportation,Large,137500.0,Data Scientist
1992,50-54,Man,UK,Master’s degree,4,4-5 years,Computers/Technology,Small,137500.0,Data Engineer
1996,35-39,Man,India,Bachelor’s degree,3,Under 1 year,Energy/Mining,Small,12500.0,Other
1999,55-59,Man,Germany,Doctoral degree,2,5-10 years,Energy/Mining,Large,137500.0,Data Scientist
2003,25-29,Man,Germany,Bachelor’s degree,2,2-3 years,Computers/Technology,Small,55000.0,Data Engineer
2005,40-44,Man,Italy,Doctoral degree,2,10-20 years,Academics/Education,Large,35000.0,Data Scientist
2006,22-24,Woman,USA,Master’s degree,2,2-3 years,Online Service/Internet-based Services,Large,65000.0,Data Engineer
2007,30-34,Man,Spain,Bachelor’s degree,4,5-10 years,Marketing/CRM,Large,55000.0,Data Scientist
2014,40-44,Man,Poland,Master’s degree,2,No experience,Accounting/Finance,Medium,45000.0,Other
2016,45-49,Man,Poland,Master’s degree,4,3-4 years,Broadcasting/Communications,Large,55000.0,Data Engineer
2017,30-34,Other,USA,Master’s degree,2,No experience,Online Service/Internet-based Services,Large,35000.0,Other
2021,45-49,Man,USA,Bachelor’s degree,1,No experience,Computers/Technology,Large,85000.0,Data Analyst
2022,22-24,Man,India,Master’s degree,4,Under 1 year,Shipping/Transportation,Large,500.0,Other
2026,22-24,Man,USA,Bachelor’s degree,3,2-3 years,Computers/Technology,Medium,95000.0,Data Scientist
2027,25-29,Man,USA,Bachelor’s degree,2,1-2 years,Medical/Pharmaceutical,Large,112500.0,Data Scientist
2029,25-29,Woman,India,Master’s degree,2,Under 1 year,Academics/Education,Small,500.0,Data Scientist
2030,25-29,Man,USA,Bachelor’s degree,1,Under 1 year,Other,Small,45000.0,Data Analyst
2033,25-29,Woman,India,Master’s degree,2,Under 1 year,Other,Small,500.0,Data Scientist
2034,30-34,Man,Germany,Doctoral degree,1,5-10 years,Retail/Sales,Large,112500.0,Data Scientist
2037,35-39,Woman,Greece,Master’s degree,1,Under 1 year,Accounting/Finance,Large,27500.0,Data Analyst
2038,30-34,Woman,India,Professional doctorate,1,1-2 years,Academics/Education,Small,500.0,Data Analyst
2042,40-44,Man,Ireland,Master’s degree,3,1-2 years,Manufacturing/Fabrication,Large,85000.0,Data Engineer
2043,35-39,Man,India,Master’s degree,2,5-10 years,Marketing/CRM,Large,55000.0,Data Scientist
2045,25-29,Man,Czech Republic,Master’s degree,3,Under 1 year,Government/Public Service,Medium,35000.0,Data Engineer
2046,25-29,Man,USA,Bachelor’s degree,2,1-2 years,Academics/Education,Large,95000.0,Data Analyst
2047,30-34,Man,USA,Master’s degree,3,2-3 years,Computers/Technology,Small,112500.0,Data Engineer
2057,30-34,Man,Romania,Master’s degree,2,2-3 years,Accounting/Finance,Medium,45000.0,Data Scientist
2063,35-39,Woman,France,Master’s degree,2,No experience,Retail/Sales,Large,4500.0,Other
2066,18-21,Man,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Small,2500.0,Data Scientist
2068,22-24,Man,Russia,Bachelor’s degree,1,Under 1 year,Energy/Mining,Large,12500.0,Data Scientist
2069,35-39,Man,Germany,Master’s degree,1,Under 1 year,Medical/Pharmaceutical,Small,500.0,Data Analyst
2071,30-34,Man,USA,Bachelor’s degree,2,2-3 years,Academics/Education,Small,22500.0,Data Analyst
2073,25-29,Man,Spain,Bachelor’s degree,2,Under 1 year,Energy/Mining,Large,45000.0,Data Analyst
2076,35-39,Man,Spain,Bachelor’s degree,3,No experience,Computers/Technology,Large,45000.0,Data Engineer
2077,18-21,Woman,India,Bachelor’s degree,3,Under 1 year,Academics/Education,Small,500.0,Data Engineer
2081,22-24,Man,Spain,Master’s degree,2,1-2 years,Academics/Education,Large,17500.0,Data Engineer
2082,35-39,Man,India,Master’s degree,2,No experience,Other,Medium,12500.0,Data Analyst
2086,30-34,Man,Belarus,Master’s degree,1,Under 1 year,Manufacturing/Fabrication,Medium,500.0,Data Scientist
2087,18-21,Man,India,Bachelor’s degree,4,1-2 years,Computers/Technology,Small,500.0,Data Engineer
2091,30-34,Man,India,Master’s degree,2,5-10 years,Broadcasting/Communications,Large,35000.0,Data Scientist
2092,30-34,Man,Germany,Doctoral degree,3,2-3 years,Academics/Education,Small,95000.0,Data Analyst
2093,45-49,Man,USA,Master’s degree,2,1-2 years,Other,Large,2500.0,Other
2097,35-39,Man,India,Professional doctorate,1,Under 1 year,Insurance/Risk Assessment,Large,6250.0,Other
2098,25-29,Man,Italy,Bachelor’s degree,2,Under 1 year,Online Service/Internet-based Services,Small,22500.0,Data Analyst
2099,25-29,Man,Germany,Master’s degree,4,2-3 years,Medical/Pharmaceutical,Large,12500.0,Data Scientist
2100,55-59,Man,USA,Doctoral degree,1,20 or more years,Academics/Education,Medium,75000.0,Other
2103,22-24,Man,Russia,Bachelor’s degree,2,Under 1 year,Accounting/Finance,Large,12500.0,Data Analyst
2104,30-34,Man,India,Master’s degree,1,No experience,Non-profit/Service,Medium,12500.0,Data Analyst
2105,55-59,Man,Russia,I prefer not to answer,2,Under 1 year,Energy/Mining,Large,45000.0,Data Engineer
2106,40-44,Woman,USA,Doctoral degree,1,10-20 years,Academics/Education,Large,112500.0,Other
2107,22-24,Woman,India,Master’s degree,3,1-2 years,Academics/Education,Small,500.0,Data Analyst
2108,40-44,Other,Netherlands,Master’s degree,3,20 or more years,Other,Large,95000.0,Data Scientist
2109,30-34,Man,Portugal,Doctoral degree,3,4-5 years,Academics/Education,Medium,45000.0,Data Scientist
2110,22-24,Woman,India,Master’s degree,1,3-4 years,Computers/Technology,Medium,500.0,Data Engineer
2111,22-24,Woman,India,Bachelor’s degree,2,Under 1 year,Accounting/Finance,Small,22500.0,Data Engineer
2112,25-29,Man,India,Master’s degree,2,1-2 years,Academics/Education,Small,500.0,Data Scientist
2113,30-34,Man,Spain,Bachelor’s degree,2,1-2 years,Energy/Mining,Small,27500.0,Data Engineer
2119,30-34,Man,France,Master’s degree,2,2-3 years,Computers/Technology,Large,55000.0,Data Engineer
2121,25-29,Woman,Poland,Doctoral degree,2,1-2 years,Academics/Education,Large,2500.0,Data Scientist
2123,35-39,Man,India,Doctoral degree,3,2-3 years,Academics/Education,Large,500.0,Other
2124,30-34,Man,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Large,95000.0,Other
2129,35-39,Woman,USA,Doctoral degree,1,No experience,Computers/Technology,Large,112500.0,Other
2132,18-21,Woman,India,Doctoral degree,3,Under 1 year,Academics/Education,Small,1500.0,Data Engineer
2133,22-24,Man,India,Master’s degree,4,1-2 years,Academics/Education,Small,500.0,Data Engineer
2136,22-24,Man,India,Bachelor’s degree,1,No experience,Computers/Technology,Large,4500.0,Data Engineer
2146,22-24,Man,India,Bachelor’s degree,1,Under 1 year,Academics/Education,Small,500.0,Data Scientist
2150,35-39,Man,USA,Bachelor’s degree,1,Under 1 year,Computers/Technology,Medium,175000.0,Data Scientist
2155,30-34,Man,France,Doctoral degree,3,3-4 years,Medical/Pharmaceutical,Large,75000.0,Data Scientist
2157,40-44,Man,India,Doctoral degree,1,Under 1 year,Accounting/Finance,Large,75000.0,Data Analyst
2158,22-24,Woman,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Small,500.0,Data Analyst
2160,30-34,Man,Russia,Master’s degree,1,Under 1 year,Energy/Mining,Medium,12500.0,Other
2161,40-44,Man,Switzerland,Bachelor’s degree,3,5-10 years,Accounting/Finance,Large,175000.0,Other
2164,25-29,Man,USA,Master’s degree,1,Under 1 year,Academics/Education,Small,27500.0,Data Scientist
2165,25-29,Man,India,Master’s degree,1,Under 1 year,Accounting/Finance,Large,6250.0,Data Scientist
2170,35-39,Man,USA,Bachelor’s degree,1,Under 1 year,Insurance/Risk Assessment,Large,85000.0,Other
2172,35-39,Man,USA,Master’s degree,2,Under 1 year,Computers/Technology,Large,112500.0,Data Scientist
2174,25-29,Man,India,Master’s degree,3,No experience,Computers/Technology,Large,1500.0,Data Analyst
2177,25-29,Woman,Russia,Bachelor’s degree,1,3-4 years,Broadcasting/Communications,Medium,35000.0,Data Scientist
2178,35-39,Man,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Large,27500.0,Data Engineer
2179,45-49,Man,Poland,Master’s degree,3,1-2 years,Computers/Technology,Large,95000.0,Data Analyst
2180,50-54,Man,Ireland,High school,2,No experience,Hospitality/Entertainment/Sports,Small,45000.0,Other
2182,30-34,Man,Russia,Master’s degree,3,1-2 years,Computers/Technology,Small,35000.0,Data Scientist
2183,50-54,Man,India,Master’s degree,3,Under 1 year,Accounting/Finance,Small,500.0,Data Analyst
2187,22-24,Man,Ukraine,Master’s degree,4,1-2 years,Manufacturing/Fabrication,Small,6250.0,Data Engineer
2188,22-24,Man,India,Master’s degree,4,No experience,Computers/Technology,Small,500.0,Data Engineer
2189,35-39,Woman,USA,Master’s degree,2,1-2 years,Accounting/Finance,Large,75000.0,Data Analyst
2190,22-24,Man,UK,Master’s degree,2,Under 1 year,Academics/Education,Large,500.0,Data Engineer
2195,45-49,Man,Spain,Master’s degree,1,No experience,Energy/Mining,Small,65000.0,Other
2196,25-29,Man,UK,Master’s degree,2,2-3 years,Insurance/Risk Assessment,Small,55000.0,Data Scientist
2198,30-34,Woman,USA,Master’s degree,3,No experience,Academics/Education,Small,500.0,Data Analyst
2200,30-34,Man,Belgium,Master’s degree,2,4-5 years,Computers/Technology,Large,75000.0,Data Scientist
2204,40-44,Man,UK,Doctoral degree,1,1-2 years,Academics/Education,Large,55000.0,Data Engineer
2206,25-29,Man,India,Bachelor’s degree,2,2-3 years,Accounting/Finance,Large,6250.0,Data Analyst
2217,25-29,Woman,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Large,6250.0,Data Engineer
2218,25-29,Man,USA,Master’s degree,1,2-3 years,Manufacturing/Fabrication,Large,65000.0,Data Analyst
2221,22-24,Man,India,Bachelor’s degree,1,2-3 years,Online Service/Internet-based Services,Medium,4500.0,Other
2224,30-34,Woman,Sweden,Master’s degree,3,2-3 years,Computers/Technology,Medium,55000.0,Data Engineer
2230,18-21,Man,Russia,Bachelor’s degree,1,1-2 years,Government/Public Service,Small,500.0,Data Scientist
2234,50-54,Man,Germany,Master’s degree,1,Under 1 year,Computers/Technology,Large,65000.0,Data Analyst
2238,25-29,Woman,India,Master’s degree,2,2-3 years,Academics/Education,Large,27500.0,Data Scientist
2239,45-49,Man,India,Master’s degree,2,1-2 years,Computers/Technology,Large,17500.0,Data Engineer
2240,25-29,Man,India,Bachelor’s degree,1,Under 1 year,Academics/Education,Large,500.0,Data Scientist
2241,25-29,Man,Spain,Master’s degree,4,Under 1 year,Computers/Technology,Large,27500.0,Data Scientist
2244,40-44,Man,Germany,Master’s degree,1,Under 1 year,Accounting/Finance,Medium,85000.0,Data Analyst
2245,25-29,Woman,India,Bachelor’s degree,2,1-2 years,Computers/Technology,Large,8750.0,Data Engineer
2246,22-24,Man,USA,Bachelor’s degree,1,2-3 years,Accounting/Finance,Large,175000.0,Data Scientist
2251,35-39,Man,Ukraine,Master’s degree,2,Under 1 year,Accounting/Finance,Small,22500.0,Data Engineer
2254,22-24,Man,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Large,3500.0,Data Analyst
2255,30-34,Man,India,Master’s degree,3,2-3 years,Medical/Pharmaceutical,Large,17500.0,Data Engineer
2256,35-39,Man,UK,Master’s degree,2,No experience,Accounting/Finance,Large,137500.0,Other
2258,35-39,Woman,USA,Master’s degree,2,4-5 years,Broadcasting/Communications,Large,112500.0,Data Scientist
2260,22-24,Woman,USA,Bachelor’s degree,3,1-2 years,Military/Security/Defense,Large,75000.0,Other
2262,22-24,Man,Poland,Bachelor’s degree,4,Under 1 year,Insurance/Risk Assessment,Medium,27500.0,Data Engineer
2264,30-34,Man,USA,Master’s degree,1,3-4 years,Computers/Technology,Medium,137500.0,Data Scientist
2265,30-34,Man,Germany,Bachelor’s degree,1,1-2 years,Online Service/Internet-based Services,Small,1500.0,Data Scientist
2267,22-24,Woman,India,Bachelor’s degree,3,1-2 years,Marketing/CRM,Large,500.0,Data Scientist
2268,35-39,Man,India,Bachelor’s degree,1,No experience,Other,Large,17500.0,Data Engineer
2269,25-29,Woman,India,Bachelor’s degree,2,Under 1 year,Manufacturing/Fabrication,Large,12500.0,Data Engineer
2270,50-54,Man,Spain,High school,1,Under 1 year,Academics/Education,Small,2500.0,Data Analyst
2273,30-34,Woman,India,Bachelor’s degree,4,Under 1 year,Computers/Technology,Small,1500.0,Data Analyst
2274,40-44,Woman,India,Master’s degree,3,No experience,Computers/Technology,Small,500.0,Other
2275,35-39,Woman,India,Master’s degree,4,1-2 years,Computers/Technology,Small,27500.0,Other
2278,18-21,Man,UK,Master’s degree,3,Under 1 year,Energy/Mining,Large,35000.0,Data Engineer
2279,22-24,Woman,India,I prefer not to answer,1,Under 1 year,Computers/Technology,Large,4500.0,Other
2281,25-29,Man,Spain,Bachelor’s degree,2,3-4 years,Accounting/Finance,Small,27500.0,Data Engineer
2287,25-29,Woman,India,Master’s degree,1,1-2 years,Computers/Technology,Small,3500.0,Data Scientist
2289,30-34,Man,India,Master’s degree,1,Under 1 year,Manufacturing/Fabrication,Medium,12500.0,Data Analyst
2294,30-34,Man,India,I prefer not to answer,3,No experience,Insurance/Risk Assessment,Large,6250.0,Other
2295,30-34,Man,UK,Bachelor’s degree,3,Under 1 year,Computers/Technology,Large,27500.0,Data Analyst
2301,50-54,Man,USA,Some college,1,Under 1 year,Computers/Technology,Large,175000.0,Data Scientist
2304,35-39,Man,Netherlands,Bachelor’s degree,2,No experience,Computers/Technology,Large,112500.0,Data Engineer
2305,25-29,Man,Russia,Master’s degree,2,1-2 years,Other,Medium,2500.0,Other
2306,30-34,Woman,USA,Master’s degree,2,Under 1 year,Other,Large,112500.0,Data Scientist
2307,35-39,Man,India,Bachelor’s degree,1,No experience,Computers/Technology,Large,27500.0,Data Analyst
2308,30-34,Man,USA,Bachelor’s degree,2,Under 1 year,Online Service/Internet-based Services,Small,65000.0,Data Engineer
2312,30-34,Woman,Germany,Master’s degree,2,No experience,Academics/Education,Small,35000.0,Other
