,age,gender,country,education,experience_prog,programming_lang_c,experience_ml,industry,team_size_g,salary_avg,role_group
4571,35-39,Man,Belarus,Master’s degree,1-3 years,1,2-3 years,Broadcasting/Communications,Small,35000.0,Data Analyst
4583,30-34,Man,Russia,Bachelor’s degree,5-10 years,4,1-2 years,Military/Security/Defense,Small,500.0,Data Scientist
4587,35-39,Man,France,Master’s degree,5-10 years,2,Under 1 year,Accounting/Finance,No team,500.0,Data Engineer
4595,40-44,Man,Greece,Master’s degree,10-20 years,2,1-2 years,Manufacturing/Fabrication,Small,35000.0,Data Engineer
4607,18-21,Man,UK,Some college,< 1 years,2,No experience,Government/Public Service,Large,22500.0,Data Analyst
4609,22-24,Woman,Belarus,Master’s degree,< 1 years,1,Under 1 year,Computers/Technology,Medium,1500.0,Data Scientist
4611,30-34,Man,Germany,Doctoral degree,5-10 years,2,No experience,Broadcasting/Communications,Large,75000.0,Data Scientist
4614,25-29,Man,Spain,Master’s degree,1-3 years,2,1-2 years,Academics/Education,Small,27500.0,Data Analyst
4616,18-21,Man,Austria,Bachelor’s degree,5-10 years,3,3-4 years,Computers/Technology,Large,45000.0,Data Scientist
4617,25-29,Man,Poland,Doctoral degree,5-10 years,2,4-5 years,Medical/Pharmaceutical,Small,22500.0,Data Scientist
4620,30-34,Man,Portugal,Master’s degree,10-20 years,2,3-4 years,Computers/Technology,Small,35000.0,Data Engineer
4626,35-39,Man,Austria,Doctoral degree,< 1 years,1,Under 1 year,Energy/Mining,Small,500.0,Data Analyst
4633,55-59,Man,Netherlands,Master’s degree,3-5 years,2,3-4 years,Government/Public Service,Large,65000.0,Data Analyst
4639,40-44,Man,Poland,Doctoral degree,10-20 years,2,5-10 years,Academics/Education,No team,27500.0,Data Scientist
4651,35-39,Man,Germany,Some college,3-5 years,1,1-2 years,Academics/Education,No team,35000.0,Other
4657,22-24,Man,Russia,Master’s degree,< 1 years,1,No experience,Academics/Education,Small,500.0,Data Scientist
4662,50-54,Man,Russia,I prefer not to answer,20+ years,1,Under 1 year,Computers/Technology,No team,3500.0,Data Engineer
4663,25-29,Woman,Austria,Doctoral degree,3-5 years,2,4-5 years,Other,Small,2500.0,Data Scientist
4669,45-49,Man,France,Master’s degree,10-20 years,2,1-2 years,Computers/Technology,Large,95000.0,Data Analyst
4681,35-39,Man,Russia,Doctoral degree,10-20 years,2,5-10 years,Hospitality/Entertainment/Sports,Small,75000.0,Other
4686,50-54,Man,Germany,Master’s degree,20+ years,3,2-3 years,Computers/Technology,Large,137500.0,Data Engineer
4689,25-29,Man,Ukraine,Some college,3-5 years,2,1-2 years,Manufacturing/Fabrication,Small,8750.0,Data Analyst
4692,40-44,Woman,Russia,Master’s degree,< 1 years,2,1-2 years,Computers/Technology,Small,500.0,Data Scientist
4696,35-39,Man,Germany,Doctoral degree,10-20 years,2,5-10 years,Online Service/Internet-based Services,Large,55000.0,Data Analyst
4701,45-49,Man,Spain,Some college,10-20 years,1,10-20 years,Online Service/Internet-based Services,Small,22500.0,Other
4707,25-29,Man,Spain,Master’s degree,1-3 years,2,1-2 years,Online Service/Internet-based Services,Small,27500.0,Data Scientist
4710,45-49,Man,Netherlands,Master’s degree,5-10 years,4,1-2 years,Shipping/Transportation,Small,75000.0,Data Analyst
4715,30-34,Man,France,Master’s degree,5-10 years,3,4-5 years,Online Service/Internet-based Services,Medium,75000.0,Data Scientist
4717,30-34,Man,France,Doctoral degree,1-3 years,1,20 or more years,Academics/Education,No team,1500.0,Data Scientist
4722,22-24,Man,Russia,Master’s degree,3-5 years,2,3-4 years,Computers/Technology,Small,500.0,Data Engineer
4724,30-34,Man,Belgium,Doctoral degree,5-10 years,3,Under 1 year,Academics/Education,No team,55000.0,Data Scientist
4728,35-39,Man,Netherlands,Professional doctorate,20+ years,2,4-5 years,Medical/Pharmaceutical,Small,65000.0,Data Scientist
4729,35-39,Man,Netherlands,Professional doctorate,20+ years,3,10-20 years,Academics/Education,Large,95000.0,Data Scientist
4734,45-49,Man,Italy,Master’s degree,10-20 years,2,1-2 years,Insurance/Risk Assessment,Small,55000.0,Data Engineer
4758,45-49,Man,Spain,Doctoral degree,20+ years,3,5-10 years,Academics/Education,Small,75000.0,Data Scientist
4759,30-34,Man,Italy,Some college,< 1 years,1,No experience,Academics/Education,Small,45000.0,Data Analyst
4762,30-34,Man,Ukraine,Bachelor’s degree,1-3 years,1,Under 1 year,Government/Public Service,Small,12500.0,Data Scientist
4764,45-49,Woman,UK,Master’s degree,3-5 years,2,2-3 years,Government/Public Service,Large,75000.0,Data Scientist
4766,45-49,Man,Spain,Master’s degree,20+ years,4,Under 1 year,Computers/Technology,Small,35000.0,Data Engineer
4771,45-49,Man,Sweden,Master’s degree,20+ years,1,2-3 years,Computers/Technology,No team,112500.0,Other
4773,25-29,Man,Russia,Master’s degree,3-5 years,2,2-3 years,Online Service/Internet-based Services,Large,3500.0,Data Analyst
4779,18-21,Man,Russia,Some college,< 1 years,1,1-2 years,Broadcasting/Communications,Medium,3500.0,Data Analyst
4780,22-24,Man,UK,Master’s degree,< 1 years,2,Under 1 year,Manufacturing/Fabrication,Large,12500.0,Data Analyst
4781,45-49,Man,Italy,Master’s degree,20+ years,2,20 or more years,Computers/Technology,Small,85000.0,Other
4782,30-34,Woman,UK,Doctoral degree,1-3 years,3,1-2 years,Medical/Pharmaceutical,Medium,45000.0,Data Scientist
4785,40-44,Man,Czech Republic,Doctoral degree,20+ years,1,5-10 years,Academics/Education,Small,45000.0,Data Scientist
4786,22-24,Man,Italy,Master’s degree,3-5 years,2,1-2 years,Computers/Technology,Large,55000.0,Data Scientist
4790,35-39,Man,UK,Master’s degree,5-10 years,2,2-3 years,Broadcasting/Communications,Small,55000.0,Data Analyst
4794,25-29,Man,Russia,Master’s degree,1-3 years,2,3-4 years,Retail/Sales,Large,17500.0,Data Engineer
4796,22-24,Man,Germany,Master’s degree,3-5 years,1,1-2 years,Academics/Education,Medium,55000.0,Data Scientist
4801,30-34,Man,Czech Republic,Master’s degree,3-5 years,3,4-5 years,Manufacturing/Fabrication,Small,55000.0,Data Scientist
4802,45-49,Man,Italy,Bachelor’s degree,10-20 years,3,1-2 years,Computers/Technology,Small,35000.0,Data Analyst
4807,30-34,Man,Portugal,Professional doctorate,10-20 years,3,5-10 years,Broadcasting/Communications,Large,45000.0,Data Scientist
4812,30-34,Man,Russia,Master’s degree,5-10 years,4,1-2 years,Computers/Technology,Large,55000.0,Data Engineer
4813,35-39,Man,Spain,Master’s degree,3-5 years,4,2-3 years,Broadcasting/Communications,Small,2500.0,Data Engineer
4814,30-34,Man,Russia,Master’s degree,5-10 years,1,Under 1 year,Energy/Mining,Small,8750.0,Data Scientist
4816,50-54,Man,Spain,Master’s degree,1-3 years,1,10-20 years,Online Service/Internet-based Services,No team,55000.0,Data Analyst
4820,25-29,Man,Italy,Master’s degree,5-10 years,2,2-3 years,Retail/Sales,Small,27500.0,Data Scientist
4821,25-29,Man,France,Master’s degree,5-10 years,1,3-4 years,Broadcasting/Communications,No team,55000.0,Data Scientist
4822,25-29,Woman,UK,Master’s degree,3-5 years,1,1-2 years,Academics/Education,Large,500.0,Data Engineer
4824,25-29,Woman,Poland,Master’s degree,1-3 years,1,Under 1 year,Manufacturing/Fabrication,No team,17500.0,Other
4832,25-29,Man,Portugal,Master’s degree,3-5 years,2,Under 1 year,Broadcasting/Communications,Small,27500.0,Data Scientist
4838,40-44,Man,Poland,Master’s degree,10-20 years,4,Under 1 year,Computers/Technology,No team,45000.0,Data Engineer
4842,30-34,Man,Netherlands,Doctoral degree,3-5 years,2,4-5 years,Academics/Education,Small,55000.0,Other
4846,50-54,Man,Ukraine,Professional doctorate,5-10 years,3,2-3 years,Medical/Pharmaceutical,Small,27500.0,Data Scientist
4853,30-34,Man,Russia,Master’s degree,5-10 years,4,2-3 years,Medical/Pharmaceutical,No team,1500.0,Data Scientist
4854,25-29,Man,Germany,Bachelor’s degree,10-20 years,4,3-4 years,Online Service/Internet-based Services,Small,45000.0,Data Engineer
4855,25-29,Man,Belgium,Doctoral degree,5-10 years,3,3-4 years,Academics/Education,Large,1500.0,Data Scientist
4858,30-34,Man,Russia,Some college,1-3 years,3,No experience,Computers/Technology,Small,500.0,Other
4859,40-44,Man,Poland,Master’s degree,3-5 years,3,1-2 years,Insurance/Risk Assessment,Small,4500.0,Data Analyst
4861,50-54,Man,Belgium,Master’s degree,20+ years,2,2-3 years,Energy/Mining,Small,2500.0,Data Analyst
4862,50-54,Man,Spain,Doctoral degree,20+ years,4,20 or more years,Academics/Education,Small,55000.0,Data Scientist
4866,40-44,Man,Poland,Master’s degree,1-3 years,1,No experience,Hospitality/Entertainment/Sports,Large,65000.0,Other
4867,35-39,Man,Russia,Bachelor’s degree,< 1 years,2,No experience,Computers/Technology,No team,2500.0,Data Engineer
4870,30-34,Woman,France,Master’s degree,3-5 years,3,3-4 years,Insurance/Risk Assessment,Large,45000.0,Data Scientist
4883,50-54,Man,Portugal,Bachelor’s degree,20+ years,3,Under 1 year,Broadcasting/Communications,No team,500.0,Data Analyst
4888,50-54,Man,Romania,Master’s degree,20+ years,2,5-10 years,Energy/Mining,Small,35000.0,Data Scientist
4894,25-29,Man,France,Master’s degree,< 1 years,1,No experience,Computers/Technology,No team,27500.0,Other
4897,45-49,Man,Spain,Doctoral degree,10-20 years,1,No experience,Academics/Education,Large,75000.0,Data Scientist
4908,50-54,Man,UK,Doctoral degree,20+ years,2,1-2 years,Academics/Education,Small,45000.0,Data Scientist
4913,30-34,Woman,Greece,Master’s degree,10-20 years,2,5-10 years,Other,Small,75000.0,Data Scientist
4921,25-29,Man,Germany,Doctoral degree,< 1 years,2,No experience,Academics/Education,Small,55000.0,Data Scientist
4924,35-39,Man,UK,Doctoral degree,3-5 years,4,3-4 years,Retail/Sales,Small,85000.0,Data Scientist
4931,25-29,Woman,Germany,Master’s degree,1-3 years,3,1-2 years,Computers/Technology,Small,55000.0,Data Engineer
4933,50-54,Man,Greece,Doctoral degree,20+ years,2,2-3 years,Energy/Mining,Small,85000.0,Other
4934,40-44,Man,France,Bachelor’s degree,< 1 years,3,No experience,Retail/Sales,Small,45000.0,Data Analyst
4945,50-54,Man,Ukraine,Master’s degree,5-10 years,1,No experience,Insurance/Risk Assessment,No team,500.0,Data Engineer
4948,45-49,Man,Russia,Master’s degree,20+ years,1,No experience,Computers/Technology,No team,500.0,Other
4949,35-39,Man,Russia,Some college,< 1 years,1,Under 1 year,Shipping/Transportation,Small,12500.0,Data Scientist
4956,35-39,Man,Germany,Bachelor’s degree,3-5 years,2,2-3 years,Computers/Technology,Small,55000.0,Data Scientist
4963,25-29,Man,France,Master’s degree,3-5 years,3,3-4 years,Insurance/Risk Assessment,Small,55000.0,Data Scientist
4964,35-39,Man,Russia,Master’s degree,1-3 years,3,1-2 years,Shipping/Transportation,No team,1500.0,Data Scientist
4966,25-29,Man,Belgium,Doctoral degree,10-20 years,2,5-10 years,Academics/Education,Large,45000.0,Data Scientist
4979,45-49,Man,Poland,Master’s degree,5-10 years,3,1-2 years,Government/Public Service,Small,1500.0,Data Analyst
4981,30-34,Man,UK,Master’s degree,10-20 years,1,No experience,Accounting/Finance,Large,500.0,Other
4988,30-34,Other,UK,Some college,3-5 years,3,2-3 years,Hospitality/Entertainment/Sports,Small,75000.0,Data Scientist
4993,50-54,Man,France,Master’s degree,20+ years,2,5-10 years,Energy/Mining,Large,95000.0,Data Scientist
4998,25-29,Man,Romania,Master’s degree,3-5 years,2,3-4 years,Computers/Technology,Large,22500.0,Data Engineer
5005,25-29,Man,Poland,Master’s degree,3-5 years,4,1-2 years,Other,No team,500.0,Data Analyst
5006,30-34,Woman,Switzerland,Bachelor’s degree,1-3 years,1,1-2 years,Academics/Education,Small,500.0,Data Scientist
5008,22-24,Man,UK,Master’s degree,5-10 years,4,2-3 years,Marketing/CRM,Small,45000.0,Data Scientist
5009,30-34,Woman,Russia,I prefer not to answer,1-3 years,3,1-2 years,Marketing/CRM,Medium,500.0,Data Analyst
5011,25-29,Woman,Poland,Master’s degree,1-3 years,2,Under 1 year,Online Service/Internet-based Services,Small,8750.0,Data Analyst
5012,30-34,Man,UK,Doctoral degree,5-10 years,2,Under 1 year,Accounting/Finance,Large,112500.0,Other
5015,22-24,Man,Russia,Master’s degree,1-3 years,4,2-3 years,Computers/Technology,Medium,22500.0,Data Scientist
5020,40-44,Woman,UK,Master’s degree,1-3 years,1,1-2 years,Computers/Technology,Large,65000.0,Data Scientist
5039,22-24,Man,Poland,Master’s degree,1-3 years,1,No experience,Accounting/Finance,Small,2500.0,Data Engineer
5052,18-21,Man,Ukraine,Bachelor’s degree,< 1 years,1,Under 1 year,Academics/Education,No team,500.0,Data Scientist
5055,25-29,Woman,Portugal,Master’s degree,3-5 years,4,Under 1 year,Shipping/Transportation,Small,17500.0,Data Analyst
5057,30-34,Woman,Russia,Master’s degree,< 1 years,2,No experience,Manufacturing/Fabrication,No team,500.0,Other
5063,35-39,Woman,UK,Bachelor’s degree,10-20 years,2,Under 1 year,Accounting/Finance,Medium,75000.0,Data Analyst
5065,30-34,Man,Spain,Master’s degree,5-10 years,1,5-10 years,Government/Public Service,Small,35000.0,Data Scientist
5072,25-29,Man,Russia,Bachelor’s degree,< 1 years,2,Under 1 year,Computers/Technology,Small,500.0,Data Engineer
5076,40-44,Man,Ukraine,Bachelor’s degree,10-20 years,4,Under 1 year,Computers/Technology,Small,35000.0,Data Engineer
5078,40-44,Man,Germany,Doctoral degree,5-10 years,1,4-5 years,Academics/Education,Large,75000.0,Data Scientist
5089,25-29,Man,Russia,Bachelor’s degree,3-5 years,3,2-3 years,Online Business/Internet-based Sales,Large,2500.0,Data Analyst
5098,30-34,Man,Spain,Doctoral degree,1-3 years,2,2-3 years,Accounting/Finance,Small,45000.0,Data Analyst
5099,35-39,Man,Switzerland,Master’s degree,5-10 years,1,2-3 years,Academics/Education,Small,75000.0,Data Scientist
5102,30-34,Man,Poland,Master’s degree,10-20 years,4,4-5 years,Computers/Technology,Small,2500.0,Data Engineer
5108,35-39,Man,Poland,Doctoral degree,10-20 years,4,4-5 years,Accounting/Finance,Medium,35000.0,Data Engineer
5112,45-49,Man,Spain,Master’s degree,10-20 years,3,2-3 years,Medical/Pharmaceutical,Large,85000.0,Data Engineer
5113,30-34,Man,Russia,Master’s degree,1-3 years,3,1-2 years,Marketing/CRM,Medium,35000.0,Data Engineer
5114,30-34,Man,Netherlands,Master’s degree,< 1 years,3,Under 1 year,Retail/Sales,Medium,1500.0,Data Scientist
5116,25-29,Man,Russia,Master’s degree,5-10 years,1,3-4 years,Retail/Sales,Small,2500.0,Data Engineer
5121,30-34,Man,Russia,Master’s degree,3-5 years,4,2-3 years,Accounting/Finance,No team,1500.0,Data Engineer
5122,22-24,Man,Spain,Bachelor’s degree,5-10 years,4,Under 1 year,Accounting/Finance,Large,12500.0,Other
5128,25-29,Woman,Russia,Doctoral degree,< 1 years,1,Under 1 year,Government/Public Service,No team,500.0,Data Analyst
5132,30-34,Man,Spain,Master’s degree,5-10 years,4,5-10 years,Medical/Pharmaceutical,Large,55000.0,Data Scientist
5141,40-44,Woman,France,Master’s degree,10-20 years,3,5-10 years,Computers/Technology,Small,112500.0,Data Scientist
5152,25-29,Man,Russia,Master’s degree,1-3 years,2,Under 1 year,Other,No team,500.0,Other
5154,45-49,Man,Italy,I prefer not to answer,1-3 years,3,No experience,Retail/Sales,Large,27500.0,Other
5156,40-44,Man,Russia,Master’s degree,10-20 years,3,1-2 years,Computers/Technology,Small,35000.0,Data Engineer
5167,30-34,Man,Russia,Master’s degree,< 1 years,1,No experience,Other,Small,17500.0,Other
5169,25-29,Man,Italy,Doctoral degree,5-10 years,3,3-4 years,Academics/Education,Medium,17500.0,Data Scientist
5174,22-24,Man,Ireland,Master’s degree,5-10 years,3,1-2 years,Other,No team,500.0,Data Scientist
5182,35-39,Man,Sweden,Master’s degree,< 1 years,3,No experience,Manufacturing/Fabrication,Small,1500.0,Data Analyst
5183,45-49,Man,Spain,Master’s degree,20+ years,3,1-2 years,Retail/Sales,No team,45000.0,Data Analyst
5184,50-54,Man,France,Doctoral degree,20+ years,4,Under 1 year,Computers/Technology,Large,75000.0,Data Engineer
5188,40-44,Man,Italy,Doctoral degree,3-5 years,1,1-2 years,Academics/Education,No team,22500.0,Data Scientist
5189,18-21,Man,UK,Some college,1-3 years,2,2-3 years,Online Service/Internet-based Services,Small,45000.0,Data Scientist
5192,25-29,Man,Russia,Bachelor’s degree,3-5 years,2,3-4 years,Retail/Sales,Large,3500.0,Data Scientist
5193,22-24,Man,UK,Master’s degree,1-3 years,3,Under 1 year,Computers/Technology,Small,27500.0,Data Scientist
5200,35-39,Man,Greece,Bachelor’s degree,10-20 years,3,Under 1 year,Medical/Pharmaceutical,Large,85000.0,Data Engineer
5203,35-39,Woman,Portugal,Master’s degree,20+ years,3,3-4 years,Computers/Technology,Large,17500.0,Data Engineer
5211,35-39,Woman,Germany,Professional doctorate,20+ years,2,10-20 years,Other,No team,500.0,Data Scientist
5214,35-39,Man,Russia,Master’s degree,3-5 years,1,No experience,Retail/Sales,No team,27500.0,Data Engineer
5218,35-39,Man,Greece,Master’s degree,20+ years,4,10-20 years,Computers/Technology,Small,2500.0,Data Scientist
5221,22-24,Man,Germany,Master’s degree,3-5 years,4,2-3 years,Computers/Technology,Large,55000.0,Data Scientist
5224,50-54,Man,Germany,Master’s degree,20+ years,3,1-2 years,Manufacturing/Fabrication,Medium,55000.0,Data Engineer
5229,35-39,Man,Czech Republic,Master’s degree,1-3 years,1,No experience,Other,No team,22500.0,Other
5230,55-59,Man,UK,Bachelor’s degree,20+ years,3,Under 1 year,Online Service/Internet-based Services,Small,22500.0,Data Engineer
5242,30-34,Man,Russia,Master’s degree,5-10 years,3,5-10 years,Computers/Technology,Large,35000.0,Data Analyst
5245,25-29,Man,Belgium,Doctoral degree,5-10 years,4,5-10 years,Academics/Education,Large,65000.0,Data Scientist
5246,30-34,Woman,Russia,Master’s degree,1-3 years,2,Under 1 year,Broadcasting/Communications,Large,3500.0,Data Scientist
5248,25-29,Man,UK,Master’s degree,1-3 years,2,Under 1 year,Shipping/Transportation,Large,55000.0,Data Analyst
5261,30-34,Man,UK,Doctoral degree,1-3 years,2,1-2 years,Online Business/Internet-based Sales,Small,65000.0,Data Scientist
5264,40-44,Woman,UK,Master’s degree,5-10 years,2,2-3 years,Accounting/Finance,Small,55000.0,Data Analyst
5279,35-39,Man,Ireland,Doctoral degree,10-20 years,4,5-10 years,Academics/Education,Small,45000.0,Data Scientist
5281,40-44,Man,Poland,Doctoral degree,10-20 years,1,5-10 years,Online Service/Internet-based Services,Large,65000.0,Data Analyst
5282,25-29,Man,Italy,Bachelor’s degree,3-5 years,3,1-2 years,Manufacturing/Fabrication,Small,35000.0,Data Analyst
5285,25-29,Man,UK,Bachelor’s degree,5-10 years,3,3-4 years,Retail/Sales,Large,85000.0,Data Engineer
5296,50-54,Man,Russia,Master’s degree,20+ years,4,2-3 years,Accounting/Finance,Small,35000.0,Data Analyst
5300,45-49,Man,Italy,Master’s degree,5-10 years,1,2-3 years,Computers/Technology,Large,65000.0,Data Analyst
5301,45-49,Man,France,Master’s degree,20+ years,4,4-5 years,Broadcasting/Communications,Small,95000.0,Data Engineer
