,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary,country_group,company_size_g,team_size_g,role_group,salary_avg,salary_group
4326,25-29,Man,Other,Master’s degree,Data Scientist,3-5 years,3,3-4 years,Retail/Sales,0-49 employees,3-4,0-999,Other,Small,Small,Data Scientist,500.0,less than 10k
4327,18-21,Woman,Pakistan,Master’s degree,Software Engineer,5-10 years,5,1-2 years,Marketing/CRM,0-49 employees,1-2,0-999,Other,Small,Small,Data Engineer,500.0,less than 10k
4329,30-34,Woman,Germany,Master’s degree,Other,< 1 years,2,No experience,Academics/Education,0-49 employees,0,30000-39999,Europe,Small,No team,Other,35000.0,between 30k and 50k
4330,25-29,Other,Other,High school,Data Analyst,3-5 years,2,Under 1 year,Retail/Sales,"1000-9,999 employees",0,15000-19999,Other,Large,No team,Data Analyst,17500.0,between 10k and 30k
4331,55-59,Man,Germany,Doctoral degree,Data Scientist,10-20 years,2,4-5 years,Energy/Mining,"10,000 or more employees",5-9,150000-199999,Europe,Large,Small,Data Scientist,175000.0,more than 125k
4333,25-29,Man,USA,Bachelor’s degree,Software Engineer,10-20 years,2,3-4 years,Computers/Technology,"10,000 or more employees",20+,150000-199999,USA,Large,Large,Data Engineer,175000.0,more than 125k
4334,40-44,Man,Spain,Doctoral degree,Research Scientist,< 1 years,2,Under 1 year,Academics/Education,250-999 employees,1-2,20000-24999,Europe,Large,Small,Data Scientist,22500.0,between 10k and 30k
4337,25-29,Man,India,Master’s degree,Machine Learning Engineer,5-10 years,2,3-4 years,Computers/Technology,"10,000 or more employees",20+,60000-69999,India,Large,Large,Data Engineer,65000.0,between 50k and 80k
4339,40-44,Man,Brazil,Bachelor’s degree,Program/Project Manager,10-20 years,2,No experience,Government/Public Service,"1000-9,999 employees",0,1000-1999,Other,Large,No team,Data Analyst,1500.0,less than 10k
4345,22-24,Man,India,Bachelor’s degree,Software Engineer,< 1 years,3,Under 1 year,Academics/Education,0-49 employees,0,0-999,India,Small,No team,Data Engineer,500.0,less than 10k
4346,35-39,Man,Portugal,Master’s degree,Research Scientist,10-20 years,4,1-2 years,Academics/Education,250-999 employees,0,25000-29999,Europe,Large,No team,Data Scientist,27500.0,between 10k and 30k
4349,30-34,Man,India,Master’s degree,Research Scientist,3-5 years,3,4-5 years,Government/Public Service,0-49 employees,5-9,10000-14999,India,Small,Small,Data Scientist,12500.0,between 10k and 30k
4350,45-49,Man,Japan,I prefer not to answer,Software Engineer,10-20 years,4,4-5 years,Computers/Technology,"1000-9,999 employees",1-2,50000-59999,Other,Large,Small,Data Engineer,55000.0,between 50k and 80k
4353,55-59,Man,UK,Bachelor’s degree,Statistician,20+ years,1,No experience,Government/Public Service,"10,000 or more employees",20+,20000-24999,Europe,Large,Large,Data Scientist,22500.0,between 10k and 30k
4354,18-21,Man,China,Some college,Software Engineer,1-3 years,5,No experience,Computers/Technology,0-49 employees,0,0-999,Other,Small,No team,Data Engineer,500.0,less than 10k
4358,35-39,Man,Canada,Master’s degree,Data Analyst,< 1 years,1,Under 1 year,Manufacturing/Fabrication,50-249 employees,0,0-999,Other,Medium,No team,Data Analyst,500.0,less than 10k
4360,35-39,Man,India,Bachelor’s degree,Product Manager,10-20 years,3,1-2 years,Retail/Sales,50-249 employees,3-4,7500-9999,India,Medium,Small,Data Analyst,8750.0,less than 10k
4361,40-44,Man,Russia,Master’s degree,Data Scientist,1-3 years,2,2-3 years,Insurance/Risk Assessment,50-249 employees,3-4,60000-69999,Europe,Medium,Small,Data Scientist,65000.0,between 50k and 80k
4362,22-24,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 years,1,Under 1 year,Computers/Technology,50-249 employees,5-9,4000-4999,India,Medium,Small,Data Engineer,4500.0,less than 10k
4366,30-34,Man,Peru,Bachelor’s degree,Other,< 1 years,4,Under 1 year,Other,0-49 employees,0,0-999,Other,Small,No team,Other,500.0,less than 10k
4367,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,< 1 years,4,No experience,Academics/Education,0-49 employees,3-4,nan,Other,Small,Small,Data Analyst,39176.716266486306,more than 125k
4368,35-39,Man,Brazil,Doctoral degree,Research Scientist,3-5 years,2,Under 1 year,Other,0-49 employees,1-2,40000-49999,Other,Small,Small,Data Scientist,45000.0,between 30k and 50k
4370,30-34,Man,Poland,Master’s degree,Data Scientist,10-20 years,4,5-10 years,Shipping/Transportation,50-249 employees,5-9,30000-39999,Europe,Medium,Small,Data Scientist,35000.0,between 30k and 50k
4372,40-44,Man,USA,Doctoral degree,Research Scientist,20+ years,2,5-10 years,Computers/Technology,0-49 employees,0,0-999,USA,Small,No team,Data Scientist,500.0,less than 10k
4374,22-24,Man,Other,Doctoral degree,Research Scientist,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,3-4,15000-19999,Other,Small,Small,Data Scientist,17500.0,between 10k and 30k
4377,30-34,Man,Japan,Master’s degree,Data Engineer,< 1 years,1,No experience,Manufacturing/Fabrication,"10,000 or more employees",20+,5000-7499,Other,Large,Large,Data Engineer,6250.0,less than 10k
4378,18-21,Man,India,Master’s degree,Data Scientist,1-3 years,1,No experience,Computers/Technology,250-999 employees,1-2,0-999,India,Large,Small,Data Scientist,500.0,less than 10k
4379,22-24,Man,India,Master’s degree,Business Analyst,3-5 years,2,1-2 years,Computers/Technology,"10,000 or more employees",10-14,10000-14999,India,Large,Medium,Data Analyst,12500.0,between 10k and 30k
4383,18-21,Woman,India,Master’s degree,Business Analyst,1-3 years,2,Under 1 year,Computers/Technology,0-49 employees,1-2,1000-1999,India,Small,Small,Data Analyst,1500.0,less than 10k
4385,50-54,Man,UK,Master’s degree,Other,20+ years,5,2-3 years,Academics/Education,0-49 employees,1-2,0-999,Europe,Small,Small,Other,500.0,less than 10k
4387,40-44,Man,India,Bachelor’s degree,Data Scientist,< 1 years,1,Under 1 year,Medical/Pharmaceutical,"10,000 or more employees",15-19,1000-1999,India,Large,Medium,Data Scientist,1500.0,less than 10k
4389,22-24,Man,Bangladesh,Bachelor’s degree,Data Analyst,1-3 years,3,2-3 years,Computers/Technology,0-49 employees,1-2,0-999,Other,Small,Small,Data Analyst,500.0,less than 10k
4390,30-34,Man,China,Bachelor’s degree,Data Analyst,5-10 years,4,Under 1 year,Hospitality/Entertainment/Sports,"10,000 or more employees",20+,4000-4999,Other,Large,Large,Data Analyst,4500.0,less than 10k
4391,22-24,Man,Other,Master’s degree,Statistician,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,1-2,0-999,Other,Small,Small,Data Scientist,500.0,less than 10k
4394,40-44,Man,Japan,Doctoral degree,Machine Learning Engineer,10-20 years,1,2-3 years,Computers/Technology,0-49 employees,5-9,7500-9999,Other,Small,Small,Data Engineer,8750.0,less than 10k
4396,30-34,Man,France,Master’s degree,Data Analyst,1-3 years,4,1-2 years,Marketing/CRM,0-49 employees,1-2,30000-39999,Europe,Small,Small,Data Analyst,35000.0,between 30k and 50k
4398,25-29,Man,Uganda,Master’s degree,Machine Learning Engineer,3-5 years,5,1-2 years,Other,0-49 employees,0,4000-4999,Other,Small,No team,Data Engineer,4500.0,less than 10k
4400,40-44,Man,USA,Doctoral degree,Research Scientist,20+ years,2,4-5 years,Other,0-49 employees,1-2,80000-89999,USA,Small,Small,Data Scientist,85000.0,between 80k and 125k
4401,22-24,Man,Egypt,Bachelor’s degree,Data Scientist,3-5 years,1,1-2 years,Academics/Education,0-49 employees,1-2,5000-7499,Other,Small,Small,Data Scientist,6250.0,less than 10k
4402,30-34,Man,India,Bachelor’s degree,Business Analyst,10-20 years,2,Under 1 year,Insurance/Risk Assessment,50-249 employees,10-14,40000-49999,India,Medium,Medium,Data Analyst,45000.0,between 30k and 50k
4407,45-49,Man,India,Doctoral degree,Other,1-3 years,3,No experience,Academics/Education,250-999 employees,1-2,1000-1999,India,Large,Small,Other,1500.0,less than 10k
4408,35-39,Man,Taiwan,Doctoral degree,Data Scientist,1-3 years,2,3-4 years,Medical/Pharmaceutical,"1000-9,999 employees",10-14,80000-89999,Other,Large,Medium,Data Scientist,85000.0,between 80k and 125k
4410,25-29,Man,UK,Bachelor’s degree,Data Scientist,3-5 years,3,1-2 years,Academics/Education,"1000-9,999 employees",1-2,70000-79999,Europe,Large,Small,Data Scientist,75000.0,between 50k and 80k
4417,25-29,Man,Spain,Master’s degree,Machine Learning Engineer,3-5 years,1,3-4 years,Computers/Technology,0-49 employees,3-4,20000-24999,Europe,Small,Small,Data Engineer,22500.0,between 10k and 30k
4418,30-34,Woman,India,Doctoral degree,Research Scientist,1-3 years,3,Under 1 year,Academics/Education,250-999 employees,15-19,0-999,India,Large,Medium,Data Scientist,500.0,less than 10k
4420,25-29,Man,Poland,Master’s degree,Software Engineer,5-10 years,4,1-2 years,Shipping/Transportation,"10,000 or more employees",5-9,60000-69999,Europe,Large,Small,Data Engineer,65000.0,between 50k and 80k
4421,22-24,Man,Bangladesh,Bachelor’s degree,Software Engineer,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,0,0-999,Other,Small,No team,Data Engineer,500.0,less than 10k
4423,25-29,Man,India,Master’s degree,Data Scientist,1-3 years,2,1-2 years,Computers/Technology,"10,000 or more employees",20+,1000-1999,India,Large,Large,Data Scientist,1500.0,less than 10k
4424,25-29,Man,India,Master’s degree,Research Scientist,3-5 years,1,2-3 years,Academics/Education,250-999 employees,20+,30000-39999,India,Large,Large,Data Scientist,35000.0,between 30k and 50k
4430,35-39,Woman,Switzerland,Doctoral degree,Research Scientist,10-20 years,1,4-5 years,Academics/Education,0-49 employees,0,25000-29999,Europe,Small,No team,Data Scientist,27500.0,between 10k and 30k
4432,35-39,Man,Thailand,Master’s degree,Business Analyst,< 1 years,1,Under 1 year,Government/Public Service,250-999 employees,20+,10000-14999,Other,Large,Large,Data Analyst,12500.0,between 10k and 30k
4433,35-39,Man,Belgium,Master’s degree,Data Engineer,3-5 years,2,2-3 years,Non-profit/Service,250-999 employees,1-2,30000-39999,Europe,Large,Small,Data Engineer,35000.0,between 30k and 50k
4436,22-24,Woman,India,Master’s degree,Data Analyst,< 1 years,4,Under 1 year,Retail/Sales,"10,000 or more employees",20+,25000-29999,India,Large,Large,Data Analyst,27500.0,between 10k and 30k
4438,35-39,Man,Other,Master’s degree,Other,< 1 years,2,No experience,Energy/Mining,50-249 employees,3-4,5000-7499,Other,Medium,Small,Other,6250.0,less than 10k
4440,25-29,Man,India,Master’s degree,Data Scientist,10-20 years,3,5-10 years,Accounting/Finance,"10,000 or more employees",20+,30000-39999,India,Large,Large,Data Scientist,35000.0,between 30k and 50k
4441,30-34,Woman,USA,Doctoral degree,Statistician,5-10 years,1,4-5 years,Academics/Education,250-999 employees,20+,60000-69999,USA,Large,Large,Data Scientist,65000.0,between 50k and 80k
4444,30-34,Man,Nigeria,Master’s degree,Statistician,< 1 years,3,No experience,Computers/Technology,0-49 employees,3-4,1000-1999,Other,Small,Small,Data Scientist,1500.0,less than 10k
4445,45-49,Man,Spain,Bachelor’s degree,Program/Project Manager,20+ years,6,2-3 years,Computers/Technology,"10,000 or more employees",20+,60000-69999,Europe,Large,Large,Data Analyst,65000.0,between 50k and 80k
4446,50-54,Man,Spain,Master’s degree,Other,20+ years,4,4-5 years,Military/Security/Defense,250-999 employees,0,50000-59999,Europe,Large,No team,Other,55000.0,between 50k and 80k
4447,25-29,Woman,Singapore,Bachelor’s degree,Data Analyst,1-3 years,1,Under 1 year,Computers/Technology,"10,000 or more employees",20+,30000-39999,Other,Large,Large,Data Analyst,35000.0,between 30k and 50k
4448,45-49,Man,Germany,Master’s degree,Program/Project Manager,10-20 years,1,1-2 years,Manufacturing/Fabrication,"1000-9,999 employees",3-4,100000-124999,Europe,Large,Small,Data Analyst,112500.0,between 80k and 125k
4449,30-34,Man,South Africa,Master’s degree,Data Scientist,10-20 years,3,5-10 years,Computers/Technology,"1000-9,999 employees",20+,50000-59999,Other,Large,Large,Data Scientist,55000.0,between 50k and 80k
4451,30-34,Woman,Ukraine,Master’s degree,Other,3-5 years,3,3-4 years,Computers/Technology,50-249 employees,1-2,4000-4999,Europe,Medium,Small,Other,4500.0,less than 10k
4454,50-54,Man,USA,Bachelor’s degree,Software Engineer,20+ years,1,No experience,Broadcasting/Communications,"1000-9,999 employees",20+,150000-199999,USA,Large,Large,Data Engineer,175000.0,more than 125k
4457,30-34,Man,UAE,Bachelor’s degree,Data Analyst,1-3 years,1,Under 1 year,Accounting/Finance,0-49 employees,3-4,7500-9999,Other,Small,Small,Data Analyst,8750.0,less than 10k
4458,22-24,Man,Bangladesh,Bachelor’s degree,Software Engineer,3-5 years,2,Under 1 year,Computers/Technology,250-999 employees,5-9,5000-7499,Other,Large,Small,Data Engineer,6250.0,less than 10k
4459,40-44,Woman,Other,Master’s degree,Research Scientist,< 1 years,3,Under 1 year,Non-profit/Service,50-249 employees,1-2,0-999,Other,Medium,Small,Data Scientist,500.0,less than 10k
4461,50-54,Man,Australia,Master’s degree,Data Scientist,1-3 years,6,1-2 years,Academics/Education,0-49 employees,1-2,0-999,Other,Small,Small,Data Scientist,500.0,less than 10k
4463,25-29,Man,Sri Lanka,Bachelor’s degree,Machine Learning Engineer,3-5 years,2,2-3 years,Academics/Education,0-49 employees,1-2,0-999,Other,Small,Small,Data Engineer,500.0,less than 10k
4465,35-39,Woman,Nigeria,Master’s degree,Research Scientist,3-5 years,1,1-2 years,Academics/Education,0-49 employees,1-2,2000-2999,Other,Small,Small,Data Scientist,2500.0,less than 10k
4469,30-34,Man,Other,Master’s degree,Research Scientist,5-10 years,1,3-4 years,Academics/Education,"1000-9,999 employees",5-9,10000-14999,Other,Large,Small,Data Scientist,12500.0,between 10k and 30k
4470,22-24,Woman,Nepal,Bachelor’s degree,Machine Learning Engineer,< 1 years,1,Under 1 year,Computers/Technology,0-49 employees,1-2,0-999,Other,Small,Small,Data Engineer,500.0,less than 10k
4474,50-54,Woman,USA,Master’s degree,Data Scientist,20+ years,4,20 or more years,Insurance/Risk Assessment,"10,000 or more employees",20+,150000-199999,USA,Large,Large,Data Scientist,175000.0,more than 125k
4475,45-49,Man,USA,Bachelor’s degree,Developer Relations/Advocacy,20+ years,1,4-5 years,Computers/Technology,250-999 employees,20+,nan,USA,Large,Large,Data Engineer,39176.716266486306,more than 125k
4476,22-24,Man,India,Master’s degree,Machine Learning Engineer,5-10 years,3,4-5 years,Computers/Technology,250-999 employees,5-9,7500-9999,India,Large,Small,Data Engineer,8750.0,less than 10k
4478,18-21,Man,Indonesia,Bachelor’s degree,DBA/Database Engineer,3-5 years,6,No experience,Academics/Education,0-49 employees,0,nan,Other,Small,No team,Data Engineer,39176.716266486306,more than 125k
4479,40-44,Man,Germany,Master’s degree,Program/Project Manager,10-20 years,2,1-2 years,Manufacturing/Fabrication,"10,000 or more employees",1-2,nan,Europe,Large,Small,Data Analyst,39176.716266486306,more than 125k
4482,25-29,Man,Brazil,Bachelor’s degree,Business Analyst,5-10 years,3,2-3 years,Manufacturing/Fabrication,"10,000 or more employees",15-19,15000-19999,Other,Large,Medium,Data Analyst,17500.0,between 10k and 30k
4484,18-21,Man,Canada,I prefer not to answer,Other,< 1 years,1,No experience,Manufacturing/Fabrication,0-49 employees,0,40000-49999,Other,Small,No team,Other,45000.0,between 30k and 50k
4486,55-59,Man,USA,Some college,Software Engineer,20+ years,3,No experience,Insurance/Risk Assessment,0-49 employees,1-2,100000-124999,USA,Small,Small,Data Engineer,112500.0,between 80k and 125k
4489,30-34,Woman,France,Master’s degree,Statistician,1-3 years,2,Under 1 year,Accounting/Finance,"1000-9,999 employees",1-2,0-999,Europe,Large,Small,Data Scientist,500.0,less than 10k
4490,30-34,Man,Japan,Master’s degree,Data Analyst,1-3 years,2,2-3 years,Marketing/CRM,50-249 employees,20+,40000-49999,Other,Medium,Large,Data Analyst,45000.0,between 30k and 50k
4494,25-29,Man,Singapore,Master’s degree,Other,5-10 years,4,5-10 years,Academics/Education,0-49 employees,15-19,40000-49999,Other,Small,Medium,Other,45000.0,between 30k and 50k
4496,30-34,Man,Pakistan,Master’s degree,Other,< 1 years,3,No experience,Shipping/Transportation,50-249 employees,3-4,nan,Other,Medium,Small,Other,39176.716266486306,more than 125k
4497,25-29,Woman,Other,Bachelor’s degree,Machine Learning Engineer,5-10 years,1,2-3 years,Manufacturing/Fabrication,250-999 employees,5-9,0-999,Other,Large,Small,Data Engineer,500.0,less than 10k
4498,40-44,Man,USA,Master’s degree,Software Engineer,10-20 years,6,10-20 years,Computers/Technology,"1000-9,999 employees",20+,100000-124999,USA,Large,Large,Data Engineer,112500.0,between 80k and 125k
4499,25-29,Man,Nigeria,Master’s degree,Business Analyst,< 1 years,2,Under 1 year,Marketing/CRM,0-49 employees,3-4,0-999,Other,Small,Small,Data Analyst,500.0,less than 10k
4500,22-24,Man,India,Bachelor’s degree,Data Analyst,1-3 years,3,1-2 years,Computers/Technology,0-49 employees,0,0-999,India,Small,No team,Data Analyst,500.0,less than 10k
4501,45-49,Man,Iraq,Master’s degree,Machine Learning Engineer,3-5 years,1,Under 1 year,Academics/Education,"10,000 or more employees",20+,0-999,Other,Large,Large,Data Engineer,500.0,less than 10k
4502,40-44,Woman,USA,Master’s degree,Data Scientist,10-20 years,2,Under 1 year,Academics/Education,0-49 employees,1-2,10000-14999,USA,Small,Small,Data Scientist,12500.0,between 10k and 30k
4504,55-59,Man,Spain,Doctoral degree,Research Scientist,20+ years,3,5-10 years,Academics/Education,"1000-9,999 employees",10-14,80000-89999,Europe,Large,Medium,Data Scientist,85000.0,between 80k and 125k
4505,50-54,Man,Netherlands,Master’s degree,Machine Learning Engineer,20+ years,4,3-4 years,Energy/Mining,"10,000 or more employees",3-4,125000-149999,Europe,Large,Small,Data Engineer,137500.0,more than 125k
4506,25-29,Woman,India,Bachelor’s degree,Software Engineer,1-3 years,1,1-2 years,Computers/Technology,"10,000 or more employees",1-2,7500-9999,India,Large,Small,Data Engineer,8750.0,less than 10k
